#,Title,URL,State,Labels,# of Labels,Assignees,# of Assignees,# of Comments,Closed at,Created at,Locked
2117,Segfault when opening build log – unable to do anything with ninja,https://github.com/ninja-build/ninja/issues/2117,closed,[],0,[],0,1,2022-04-02 20:40:29,2022-04-02 20:13:13,False
2116,linux: `pool = console` does not forward signals (e.g. SIGTERM) to the console process,https://github.com/ninja-build/ninja/issues/2116,open,[],0,[],0,1,,2022-04-02 17:03:08,False
2113,ninja -t clean can delete arbitrary files via symlink,https://github.com/ninja-build/ninja/issues/2113,open,"[Label(name=""bug"")]",1,[],0,0,,2022-03-31 15:25:38,False
2112,Buildroot | ninja build error | /usr/bin/ld:error adding symbols: file in wrong format,https://github.com/ninja-build/ninja/issues/2112,open,[],0,[],0,0,,2022-03-31 09:53:26,False
2111,RSP file not found due to @ symbol before RSP_FILE not understood,https://github.com/ninja-build/ninja/issues/2111,open,[],0,[],0,0,,2022-03-30 20:28:28,False
2105,Ninja and PDB file size,https://github.com/ninja-build/ninja/issues/2105,closed,[],0,[],0,1,2022-03-17 07:20:45,2022-03-16 17:44:54,False
2100,vdf_proofs_ecaf65add1b785b0495e3099f4045ec0_1646869001.zip,https://github.com/ninja-build/ninja/issues/2100,closed,[],0,[],0,0,2022-03-10 06:43:41,2022-03-10 05:11:08,False
2099,[![FOSSA Status](https://app.fossa.com/api/projects/git%2Bgithub.com%2FPinkDiamond1%2Flightning-rfc.svg?type=shield)](https://app.fossa.com/projects/git%2Bgithub.com%2FPinkDiamond1%2Flightning-rfc?ref=badge_shield),https://github.com/ninja-build/ninja/issues/2099,closed,[],0,[],0,0,2022-03-10 06:43:23,2022-03-10 05:10:24,False
2098,Error 6593,https://github.com/ninja-build/ninja/issues/2098,closed,[],0,[],0,1,2022-03-10 06:42:33,2022-03-09 16:58:14,False
2097,File 'GNUmakefile' does not exist while buiding ninja host ,https://github.com/ninja-build/ninja/issues/2097,closed,[],0,[],0,2,2022-03-08 10:09:55,2022-03-08 09:31:35,False
2096,host-ninja 1.10.2 build failed ubuntu 20,https://github.com/ninja-build/ninja/issues/2096,closed,[],0,[],0,3,2022-03-07 16:06:07,2022-03-07 15:40:25,False
2095,Is there an upcoming release planned?,https://github.com/ninja-build/ninja/issues/2095,closed,[],0,[],0,1,2022-02-28 12:54:36,2022-02-28 12:32:14,False
2091,ninja_test fails with qemu-user-static for arm32v7 and arm64 linux.,https://github.com/ninja-build/ninja/issues/2091,open,[],0,[],0,1,,2022-02-19 20:54:54,False
2090,Ninja doesn't seem to consistently respect escaped spaces in build targets,https://github.com/ninja-build/ninja/issues/2090,closed,[],0,[],0,0,2022-02-19 05:35:22,2022-02-19 05:29:15,False
2084,dry-run builds are ~15x slower on Windows due to lack of stdout buffering,https://github.com/ninja-build/ninja/issues/2084,closed,[],0,[],0,4,2022-02-17 22:44:14,2022-02-16 01:19:29,False
2083,Add fail fast mode that immediately stops execution of running jobs after failures.,https://github.com/ninja-build/ninja/issues/2083,open,"[Label(name=""feature""), Label(name=""frontend"")]",2,[],0,4,,2022-02-15 15:55:27,False
2082,msvc tool issues,https://github.com/ninja-build/ninja/issues/2082,open,"[Label(name=""windows"")]",1,[],0,8,,2022-02-14 16:48:54,False
2080,> https://github.com/microsoft/FLAML/pull/447,https://github.com/ninja-build/ninja/issues/2080,closed,[],0,[],0,0,2022-02-11 15:08:43,2022-02-10 21:50:49,False
2079,Ms,https://github.com/ninja-build/ninja/issues/2079,closed,[],0,[],0,2,2022-02-11 15:08:12,2022-02-10 21:49:09,False
2078,Flaml,https://github.com/ninja-build/ninja/issues/2078,closed,[],0,[],0,1,2022-02-11 15:08:28,2022-02-10 21:48:06,False
2077,MS opensource,https://github.com/ninja-build/ninja/issues/2077,closed,[],0,[],0,0,2022-02-11 15:08:52,2022-02-10 21:41:42,False
2076,You don't deserve,https://github.com/ninja-build/ninja/issues/2076,closed,[],0,[],0,0,2022-02-06 02:13:08,2022-02-06 02:12:48,False
2072,Is it possible to specify the argv[0] of a rule?,https://github.com/ninja-build/ninja/issues/2072,closed,[],0,[],0,2,2022-02-07 00:12:36,2022-01-22 13:53:56,False
2070,empty path error: please  print name and exact position,https://github.com/ninja-build/ninja/issues/2070,open,[],0,[],0,0,,2022-01-16 11:30:20,False
2069,build failure on AIX 6.1,https://github.com/ninja-build/ninja/issues/2069,closed,"[Label(name=""bug""), Label(name=""help wanted"")]",2,[],0,1,2022-01-12 07:15:33,2022-01-09 13:06:22,False
2068,DependencyScan::RecomputeOutputsDirty always return true,https://github.com/ninja-build/ninja/issues/2068,open,"[Label(name=""cleanup"")]",1,[],0,1,,2022-01-09 01:05:42,False
2061,Windows 10/11 ARM binaries desired,https://github.com/ninja-build/ninja/issues/2061,open,"[Label(name=""windows"")]",1,[],0,1,,2021-12-14 21:28:22,False
2059,Failing at step 854 when compiling aseprite.,https://github.com/ninja-build/ninja/issues/2059,closed,[],0,[],0,2,2021-12-07 07:41:58,2021-12-05 13:38:24,False
2058,Python subprocess breaks out of venv,https://github.com/ninja-build/ninja/issues/2058,closed,[],0,[],0,2,2021-12-07 07:41:27,2021-12-05 12:38:59,False
2057,The system cannot find the path specified. (os error 3),https://github.com/ninja-build/ninja/issues/2057,closed,[],0,[],0,1,2021-11-29 09:27:46,2021-11-26 13:05:13,False
2054,add installer for ninja_syntax,https://github.com/ninja-build/ninja/issues/2054,open,"[Label(name=""feature"")]",1,[],0,0,,2021-11-22 12:13:11,False
2052,ninja hanging with zombie child process,https://github.com/ninja-build/ninja/issues/2052,open,"[Label(name=""bug""), Label(name=""help wanted"")]",2,[],0,1,,2021-11-18 14:47:21,False
